R,RDes,P,PDes,Y,YDes,FaultIn
-0.0597568,-6.01641,0.01121701,-1.724944,-0.0155485,0.002936449,0
-0.05198797,-6.016508,0.007254967,-1.724787,-0.01646183,0.002716034,0
-0.05042497,-6.01147,0.04067652,-1.726929,0.05411157,0.00214518,0
-0.01899562,-6.012189,-0.01832897,-1.724269,-0.02589688,0.00295192,0
0.009910113,-6.009348,0.02125428,-1.727577,-0.06025136,0.003294446,0
-0.05484213,-6.003316,-0.01660744,-1.726344,0.006286317,0.001865945,0
0.02840342,-6.004114,0.004584499,-1.729171,0.04192044,0.001869195,0
-0.02963331,-6.003542,0.02971142,-1.732522,0.006553716,0.002392485,0
-0.05089878,-5.996562,0.04119457,-1.735218,-0.008554729,0.003938417,0
0.04981374,-6.002035,0.0502841,-1.742167,-0.01667547,0.003132418,0
-0.003009907,-6.002189,0.06976435,-1.751294,-0.004874079,0.002655584,0
0.01149996,-5.997848,0.01955703,-1.750276,0.1006203,0.001258219,0
0.08910836,-6.003452,0.01582011,-1.748832,-0.09430085,0.0037372,0
-0.09733897,-5.990543,0.04079522,-1.75963,-0.1963895,0.006659777,0
-0.1054894,-5.982149,-0.167869,-1.740595,0.1780311,-0.002682644,0
-0.1040295,-5.978238,-0.04184881,-1.748083,0.2021234,0.001201708,0
-0.1937268,-5.968071,-0.05717562,-1.748695,-0.0115065,0.003806947,0
-0.2284885,-5.96452,-0.04627898,-1.755139,-0.1712295,0.004071346,0
-0.09208561,-6.487504,-0.03115184,-1.752917,-0.1424351,0.003136894,0
0.05452282,-5.985026,-0.04828433,-1.748572,0.150832,-0.0002441483,0
0.01342418,-5.993121,-0.1138628,-1.738242,0.2879853,-0.002259646,0
0.019004,-6.508629,0.0813946,-1.745922,-0.186868,0.00528683,0
-0.08419286,-5.969729,0.2367332,-1.769866,-0.4391102,0.006802502,0
0.04737572,-5.96346,0.05968854,-1.782671,0.07106951,-0.003020955,0
0.3168873,-5.988358,-0.4084269,-1.741965,0.7142879,-0.008183257,0
-0.06492656,-5.991475,0.1384375,-1.730461,-0.2805673,0.004394908,0
